Wavenumber,Y1-1,Y1-2,Y1-3,Y2-1,Y2-2,Y2-3,Y3-1,Y3-2,Y3-3,Y4-1,Y4-2,Y4-3,Y5-1,Y5-2,Y5-3,Y6-1,Y6-2,Y6-3,Y7-1,Y7-2,Y7-3,Y8-1,Y8-2,Y8-3,Y9-1,Y9-2,Y9-3,DJ2-1,DJ2-2,DJ2-3,DJ3-1,DJ3-2,DJ3-3,DJ4-1,DJ4-2,DJ4-3,DJ5-1,DJ5-2,DJ5-3,DJ7-1,DJ7-2,DJ7-3,DJ8-1,DJ8-2,DJ8-3,DJ11-1,DJ11-2,DJ11-3,DJ14-1,DJ14-2,DJ14-3,DJ16-1,DJ16-2,DJ16-3,DJ17-1,DJ17-2,DJ17-3,DJ17W-1,DJ17W-2,DJ17W-3,DJ18-1,DJ18-2,DJ18-3,DJ18W-1,DJ18W-2,DJ18W-3,DJ20-1,DJ20-2,DJ20-3,DJ21-1,DJ21-2,DJ21-3,DJ22-1,DJ22-2,DJ22-3,DJ24-1,DJ24-2,DJ24-3,DJ26-1,DJ26-2,DJ26-3
551.64138,93.56913,92.69747,93.6874,92.88716,92.91426,93.28271,94.74387,95.553,94.55497,94.71273,93.71382,94.04984,95.31964,95.98504,96.74722,96.19723,96.24147,97.00102,96.79929,95.88381,97.26886,97.45686,95.783,96.37581,97.33299,98.52432,96.88526,96.9636,97.23745,97.18078,97.4322,97.71038,95.16256,96.47526,96.2933,97.41149,97.19811,97.67437,98.16608,98.29939,97.44098,98.24677,95.43346,96.3544,96.82208,97.42505,97.01312,96.93786,93.99989,93.86831,93.66394,95.19559,93.96319,94.23973,96.2801,98.69798,98.70286,97.74806,99.97735,98.71773,96.22974,96.10203,96.25017,97.07236,98.42432,97.4071,93.61957,94.14699,96.35474,97.11852,97.25069,96.26272,95.68424,95.7277,97.35578,98.70521,97.80918,97.68738,95.10391,95.34274,93.9852
553.57019,93.45076,93.87051,93.4959,93.50668,93.11073,94.26903,94.89616,95.6606,94.29842,95.78064,93.24,94.76005,96.20609,95.44712,96.6075,97.73484,96.33607,96.88609,96.85465,96.12498,97.32324,97.30671,95.52167,98.74264,98.23374,98.95651,97.33725,98.61987,98.89728,98.71345,97.75463,97.71709,96.68716,97.31878,97.19839,97.88997,98.75577,98.13568,98.90245,99.52357,98.57004,98.4747,96.16226,97.44852,96.78025,98.27291,96.84245,97.79527,94.96549,94.20227,93.91627,94.93843,94.38247,94.61328,98.02413,99.25508,98.60513,97.87936,101.08797,99.04441,97.56816,97.18565,96.13844,97.5777,98.34673,96.72111,94.44741,95.22065,96.66521,97.27976,98.37265,98.15154,97.94647,97.29076,97.25323,99.54907,98.01837,98.55907,95.22783,96.06083,94.83388
555.49901,91.73434,93.0566,92.60501,92.27392,91.15273,92.42967,92.09341,93.32278,92.78925,95.01487,92.19607,93.16294,94.55175,93.20145,94.74125,96.9272,95.05486,95.65821,95.41168,95.3093,96.42041,96.36559,94.377,98.23461,96.98006,96.62363,96.21389,98.37188,98.69061,96.56142,96.83645,97.62194,96.17,96.2858,96.55376,97.56484,98.22561,97.30185,98.21282,98.20912,96.95606,98.04339,94.89509,95.93833,94.90379,97.23332,95.75532,96.28528,94.10142,92.51793,93.62187,93.06549,93.16961,93.16732,97.43627,98.29447,97.19693,96.25299,99.23123,96.98084,96.39029,96.33238,95.04545,96.50191,97.13348,96.28045,94.14918,94.46421,96.14475,95.8016,97.36092,97.70038,97.44872,95.97769,96.11508,98.47244,96.76608,98.47393,93.81455,94.88648,93.85305
557.42782,91.66877,92.05492,92.35674,91.95736,90.00832,91.09157,92.61904,92.17466,92.74825,94.31133,92.79025,92.22059,94.00793,92.81683,94.55925,97.28228,94.84381,95.41553,95.33988,95.17503,94.67814,96.10758,94.8494,97.86063,96.74856,94.66066,95.92123,98.51609,98.33622,95.41744,97.23482,97.62095,95.43452,95.73096,96.29819,95.962,98.11176,97.00482,98.26857,96.61164,95.41186,98.20002,95.18603,95.06008,95.25664,96.66865,95.53,96.05719,94.77956,92.49444,93.42929,93.04847,93.34516,92.43693,96.50491,97.69958,97.41069,95.81356,97.25754,96.70622,94.61763,95.50572,94.65477,95.86948,96.70082,97.32551,95.04183,93.46645,95.35476,95.63214,96.66556,96.68258,96.57417,95.13339,96.11266,98.14437,96.21937,97.27821,93.91543,94.5916,94.44583
559.35664,90.56906,91.12226,90.98882,90.74688,89.16694,89.9919,91.58557,91.9209,91.00306,92.55186,91.02911,91.64387,94.66552,92.24114,93.37807,95.71198,93.48622,94.42888,94.0642,94.98893,94.57113,94.50187,94.68059,95.51677,95.61831,93.72283,95.0681,98.02084,97.44418,95.09128,96.31547,95.88741,94.19847,94.98317,94.65577,94.6542,97.04372,94.95403,96.37353,96.10429,94.83956,96.31888,95.46544,93.62618,94.10496,95.666,94.31428,95.77209,93.6787,92.59772,92.67661,91.97534,91.95392,90.93531,95.72878,96.82739,96.26119,96.01233,96.79436,96.72162,93.37568,93.59087,93.35285,94.62938,94.87853,96.3373,94.76237,92.33163,94.25614,95.81355,94.72651,96.02546,95.13978,94.1583,94.8969,96.90725,94.70224,95.51018,93.37832,93.90475,93.41587
561.28546,90.55248,91.57286,90.85337,89.52891,89.72759,89.46892,89.89259,91.88803,90.84301,92.19409,90.38087,90.52792,94.36764,91.98842,92.43341,94.49684,92.88719,94.37271,93.70785,94.24124,94.88924,93.94537,94.06286,92.58814,95.20948,94.57106,95.22464,95.88201,96.65269,95.99023,95.40885,94.84831,93.32291,94.79218,94.38245,95.86415,95.95506,93.71332,95.72002,96.7594,95.41453,95.4495,95.7143,94.15286,93.73717,95.18687,94.22509,95.94338,92.89165,92.18666,93.41709,91.73101,91.1542,90.70525,95.37362,96.58991,95.41569,96.89864,97.88442,96.78677,93.71115,93.17545,93.16454,94.56136,93.69885,94.77195,94.43813,91.88981,94.52692,95.46777,94.29024,95.66245,94.45524,93.89827,94.5835,96.70967,94.67972,95.26915,93.53379,93.21127,92.71624
563.21427,91.2063,92.47386,90.64878,90.0871,89.39732,89.71649,90.0638,91.73638,91.64844,92.64558,90.92363,90.0746,93.69431,92.79841,92.75812,94.80263,94.26163,94.58212,93.72007,94.65644,96.14684,94.65634,94.02381,94.72071,95.02788,94.9493,95.50285,95.32013,96.23445,96.8928,95.96932,95.27492,94.97629,95.22211,95.20803,96.99406,96.07417,94.97827,96.84093,97.12268,95.23321,95.46672,96.16066,94.96209,93.65084,94.89452,94.59314,96.02382,93.7451,92.50176,93.43021,93.30075,91.36058,92.30766,95.49589,96.88463,95.58918,97.44274,98.17928,96.9857,95.13123,94.1133,94.79818,95.73271,95.25073,94.82297,94.46359,92.95974,94.62075,94.75911,96.15969,95.25916,94.5483,94.917,95.2071,97.06548,95.53065,94.80979,93.72554,93.06175,93.1898
565.14309,91.05201,92.79019,90.17991,91.21656,89.54514,89.43652,90.89834,91.33729,91.83889,92.46505,90.86774,90.37075,94.37687,92.84422,93.92545,94.85343,95.92324,93.86335,94.03664,95.65317,96.31698,94.76196,95.00034,95.62396,95.07269,95.42164,95.92069,97.07362,96.92692,96.97286,96.40205,95.46297,96.20375,95.61346,95.10476,96.61864,97.22588,96.08759,97.98891,97.07641,95.50683,95.99413,95.83443,95.23438,94.31357,94.5668,94.45008,96.16599,94.14332,93.05,93.78731,93.98098,91.94702,93.28024,97.27831,97.11721,95.90833,97.50623,97.74027,97.58616,95.88689,94.42116,96.14481,96.58462,96.57382,96.32404,93.95983,92.85812,94.70356,94.68781,96.53923,95.12282,95.05756,96.17401,96.02576,97.06307,97.13769,95.13515,94.23761,93.20837,92.84535
567.0719,90.14238,92.22919,90.17954,91.68902,89.95656,89.98883,91.23228,91.43423,91.79635,92.63534,91.03915,90.27251,94.89158,92.49825,94.56192,94.2872,96.92273,94.71989,93.80496,94.95073,94.516,93.8248,95.00763,95.5733,95.78641,95.62937,95.72869,98.07858,97.68334,97.15273,97.098,95.70195,95.81168,95.1375,94.92908,98.0359,97.56825,96.58112,98.54171,96.93895,97.1616,96.74726,95.87559,95.17893,96.11828,95.34883,94.80766,96.3937,92.75561,92.7392,94.3544,93.94311,92.6812,92.68197,97.61571,98.3078,96.92387,97.48799,97.17256,98.35662,94.85348,94.05049,95.27696,96.19541,96.60821,95.50357,93.60149,91.7476,95.75979,95.33491,95.74915,94.83104,95.47047,96.68922,96.49769,97.32553,97.38999,96.28675,95.32365,93.85231,92.95565
569.00072,88.71059,89.7258,90.50076,90.45839,87.89334,90.00907,90.57618,90.61441,90.661,92.22192,89.94899,89.54447,94.46815,91.8841,94.01237,93.84835,95.80613,94.46873,93.32197,94.11373,95.81737,92.31853,93.80879,95.72771,95.06361,94.82988,94.53261,97.47496,97.31936,96.05374,96.90257,95.17473,94.35432,93.93984,95.09866,97.79149,96.37416,95.66077,97.25226,96.04097,97.58968,95.53276,95.02546,95.09099,95.55241,95.40974,95.07447,95.32575,91.6847,91.28406,92.85713,93.03269,91.37323,91.37272,96.57272,97.68496,97.00754,96.99507,97.13189,97.03265,93.95853,92.97713,94.46043,95.35886,95.94986,93.94044,92.72293,91.51825,94.79545,95.2565,94.80915,93.66608,94.4689,95.04797,96.11144,96.91589,95.58574,96.02058,94.43853,93.23481,92.90396
