name,c_K2CO3,c_KHCO3,Total,Wavenumber,R1-1,R1-2,R1-3,R2-1,R2-2,R2-3,R3-1,R3-2,R3-3,R4-1,R4-2,R4-3,R5-1,R5-2,R5-3,R6-1,R6-2,R6-3,R7-1,R7-2,R7-3,R8-1,R8-2,R8-3,R9-1,R9-2,R9-3,R10-1,R10-2,R10-3,R11-1,R11-2,R11-3
R1,0.29 ,0.29 ,0.59 ,551.64138,101.81225,101.65282,102.17616,98.03755,96.36417,97.87959,93.75175,93.18767,94.44616,101.92645,102.15272,101.73015,98.63682,96.66964,96.92776,94.15825,91.28564,92.16141,93.86477,94.4977,93.6492,98.5188,96.96008,96.07856,96.57069,95.54156,94.59393,95.34107,94.49895,93.10487,98.02124,97.73711,97.27349
R2,1.00 ,1.00 ,2.00 ,553.57019,102.0648,102.62484,103.37618,98.24933,96.95955,98.5829,94.53444,93.33737,94.70472,102.53874,102.79185,102.77424,97.87112,96.05866,96.08622,93.55213,92.1189,91.58545,94.42631,95.14305,93.29846,98.71463,97.04258,97.13358,96.97685,95.73571,95.32039,96.23227,95.13826,92.36665,99.62017,98.41465,96.98098
R3,1.71 ,1.71 ,3.41 ,555.49901,99.67236,102.24422,101.07743,96.07657,95.68288,96.44787,93.1095,92.08903,92.90608,100.11006,101.91991,101.51972,95.59937,95.02812,94.43964,91.09768,90.88945,90.66312,93.71776,94.01404,91.55608,96.62113,95.78618,96.52186,94.87405,93.68505,93.56081,94.05107,93.93614,92.15238,97.55941,97.32063,95.04149
R4,1.00 ,0.00 ,1.00 ,557.42782,99.74578,102.01759,100.54524,96.29136,95.89421,95.67698,93.39185,91.85102,92.81427,100.09769,102.03087,100.84913,95.5265,94.80858,95.17106,90.39518,89.44416,91.16614,94.58379,93.13165,90.26522,95.57588,95.80325,96.44465,94.12601,93.04195,93.65104,92.92496,93.28521,93.22886,95.77602,96.73762,94.50018
R5,1.00 ,1.00 ,2.00 ,559.35664,99.02054,100.51821,100.49605,95.10087,94.82494,95.6667,92.51249,89.42867,91.80579,100.34591,101.04126,99.46462,95.40412,93.39879,95.22191,89.58289,88.50787,89.49265,92.98901,91.56619,89.37088,95.15484,95.03824,94.8871,92.97571,93.10031,93.71922,91.2453,92.04493,91.8344,94.44222,95.31293,95.41318
R6,1.00 ,2.00 ,3.00 ,561.28546,98.87982,100.36366,101.02934,94.23005,94.75377,95.42287,91.73429,88.82206,90.09724,100.88466,99.97823,99.35238,94.75541,92.66785,95.17878,89.22029,88.91073,88.80596,91.49372,90.48105,89.68136,95.35033,96.16607,94.60889,93.2236,93.3352,93.84153,91.24963,91.61471,91.71385,93.50446,95.15721,96.02256
R7,2.00 ,1.00 ,3.00 ,563.21427,98.66107,101.27553,101.05947,94.74731,95.11725,95.11576,91.59837,89.11944,89.83249,100.78763,99.63295,100.23998,94.10627,93.46418,94.39029,88.8067,88.44,89.45768,91.41277,90.14759,90.97696,95.75915,96.44097,95.27379,94.20191,93.09908,93.79259,90.77004,91.25195,91.78508,94.65204,95.48662,95.56724
R8,1.71 ,0.29 ,2.00 ,565.14309,98.54497,100.42197,100.56494,95.28585,95.19949,94.49378,90.9374,90.10588,90.57327,100.63657,99.5915,101.59651,95.24608,93.67443,95.22269,88.54724,88.74165,89.45279,91.62471,90.77655,91.84563,95.88723,95.96827,95.84392,94.3805,92.36606,93.99875,90.85247,90.83069,91.95631,96.33744,95.8165,95.35241
R9,1.00 ,1.00 ,2.00 ,567.0719,99.48541,99.42933,100.92186,95.53263,95.23304,94.46554,90.84036,90.40296,90.76966,101.36615,99.87165,101.43298,95.85562,94.26921,96.00945,88.7309,88.71701,88.8992,90.69138,89.81521,91.88655,95.98234,96.88321,95.88371,94.1562,92.08254,94.0125,90.56493,90.59426,91.01919,96.53769,96.32655,96.24509
R10,0.29 ,1.71 ,2.00 ,569.00072,99.86868,98.56765,100.37018,95.60464,94.33458,93.65071,90.71347,89.07466,89.24283,100.77621,100.23901,99.97109,94.24527,93.90931,94.22362,89.00639,88.13247,87.89609,88.90276,89.28988,89.86859,95.48501,96.29869,95.64101,93.18053,91.37605,93.19116,90.05017,89.98484,88.66427,94.78219,95.05332,95.55474
R11,0.00 ,1.00 ,1.00 ,570.92954,99.83502,98.44325,98.0652,94.0623,93.67221,92.99542,88.67141,87.77403,88.57601,98.24109,99.5178,99.89679,92.77525,93.68849,92.48743,87.80739,87.67353,86.80698,88.90486,89.51067,88.13645,94.34569,94.98804,95.15708,92.8836,90.87938,92.00256,89.8065,89.53396,87.89872,93.56813,94.85993,93.98798
,,,,572.85835,100.97154,100.27897,99.30656,94.83857,94.59253,94.45925,89.4522,88.93561,89.90406,99.55578,100.24268,101.43669,94.05155,95.04349,93.68286,88.43073,87.97775,87.14908,90.51128,90.92765,88.88897,95.02387,96.40177,95.80569,94.25571,92.05141,92.77093,90.53653,90.8982,90.93475,95.18572,96.51685,95.42282
,,,,574.78717,100.79431,101.13704,100.59562,95.76741,93.92346,94.20995,89.21504,88.93834,89.10212,100.87115,100.71456,101.4443,94.81714,94.69918,95.05971,88.24814,86.81316,86.58131,90.69161,91.07206,89.21439,95.38934,96.61745,95.6666,93.45473,91.83479,92.78735,89.82782,91.53158,91.97174,95.63925,96.14833,96.4282
,,,,576.71598,100.13226,99.83932,99.83837,93.9386,92.68718,93.47563,88.23788,87.69706,87.7918,100.10316,100.10989,99.81469,93.92981,92.90391,94.18107,86.40305,85.55819,85.74423,90.01841,89.03228,88.51077,94.52007,95.06973,94.9382,90.3517,90.55137,91.92771,88.34784,89.29799,90.31959,93.99372,95.57689,95.14346
,,,,578.6448,99.66342,99.02183,99.4644,92.33529,92.54751,93.12062,87.48594,86.6448,86.87218,99.27374,99.67155,98.67135,92.20786,91.07805,91.76651,84.33418,84.46978,84.80855,88.36683,87.67664,89.31873,93.46037,94.22306,93.4307,88.77071,90.41952,91.25933,87.64284,87.80236,88.85755,93.37517,94.42309,94.25347
,,,,580.57362,99.15259,97.74211,98.84521,91.91583,92.33077,92.06004,86.80042,85.77946,85.92143,99.5933,99.99402,98.52304,90.837,90.27547,91.21667,83.99506,84.15235,84.39037,87.23708,87.40165,89.08845,93.04293,93.75177,93.38752,89.58115,90.32554,90.05169,86.94099,87.43375,88.83793,93.79514,93.10643,93.49455
,,,,582.50243,98.34442,97.23981,98.07327,91.99624,91.89052,91.70614,86.80069,85.50276,85.38044,99.15657,99.89994,98.93083,90.39386,90.50021,92.23382,84.94619,84.58025,84.22077,87.34939,87.47264,87.94373,92.38561,93.89903,93.38269,89.21189,89.56885,89.92466,87.15087,87.64009,87.6417,94.97577,92.93209,93.13945
,,,,584.43125,98.07433,98.27446,98.61053,92.87413,92.06804,91.89419,87.81547,86.5896,85.85509,98.40671,99.72727,99.36649,91.01792,90.72689,92.64718,85.624,85.56659,84.41224,87.28624,87.72442,87.86309,92.75878,94.95052,94.12531,89.7123,90.02115,91.23227,88.56556,88.57191,87.60785,95.25307,92.97357,93.68448
,,,,586.36006,98.05659,98.87147,99.13052,92.46459,91.50421,92.01962,88.32728,86.60765,86.65522,97.50567,98.8231,98.62112,90.92153,91.10242,91.48474,86.05348,85.48214,84.84972,87.66279,87.3934,87.45147,92.8261,94.53636,93.86548,90.46604,89.92485,91.5721,88.93503,88.49292,88.2131,94.41471,93.15293,94.20669
,,,,588.28888,99.39056,99.24906,98.88322,92.89106,92.37916,93.22443,89.53329,87.24872,87.84543,98.51009,98.73295,98.64135,91.5159,91.56473,91.38985,86.39956,86.09051,86.89257,88.55253,88.12561,87.45794,93.33523,94.37057,94.17739,91.08914,90.62847,92.24153,90.00226,89.53528,90.11337,94.31264,94.03205,94.80166
,,,,590.2177,99.54802,99.10012,98.07383,93.66377,92.83523,93.86225,89.99835,88.48685,88.45656,98.70941,98.90366,97.97549,92.09912,91.27348,91.83737,86.55337,87.30706,87.74403,88.72982,88.33722,87.56757,93.09552,93.40089,93.87595,90.85569,90.75445,92.80759,90.30055,90.51169,91.28731,94.43727,94.47686,95.12205
,,,,592.14651,99.20255,98.56961,98.24076,94.207,93.48292,93.20183,90.40783,90.42151,89.66432,97.5034,98.38025,97.66535,92.73657,91.44895,92.97082,87.83782,88.57912,88.54862,88.99867,88.0926,88.06128,92.5746,92.41863,93.07161,91.42527,90.81813,93.11649,90.95054,91.41364,91.27581,94.68982,95.22389,95.62337
,,,,594.07533,99.40706,98.96001,99.85454,94.65676,94.58402,93.64804,90.77532,91.03392,91.05891,96.69043,97.893,98.05972,94.00879,92.86067,93.73172,89.29736,89.68958,89.6944,89.5406,88.72299,88.73586,92.83882,93.13879,93.13641,92.16875,91.71793,92.87352,92.8657,93.36266,92.53189,95.86791,95.90199,96.03606
,,,,596.00414,99.84107,100.04407,100.29571,95.51217,94.98263,94.75612,92.11072,91.53887,91.98362,96.86152,97.96844,97.65852,94.84509,94.13138,94.61995,91.09845,90.708,91.25718,89.82634,89.45147,89.07239,93.45367,93.5935,92.71881,92.69325,92.64841,93.4813,94.33295,94.86108,94.16134,96.93734,96.43567,96.66378
,,,,597.93296,99.5879,100.44347,99.34358,96.2907,94.59347,95.71377,93.49191,92.32728,92.02452,96.30282,97.4401,97.06639,94.91359,94.33637,95.42257,92.87256,91.88635,93.41003,90.18056,90.23218,89.19111,92.77183,92.5726,92.02049,93.35154,93.52757,94.65101,95.48013,95.51022,94.67587,97.13937,97.33943,97.92032
,,,,599.86178,99.55696,100.69431,100.12189,96.69818,95.60082,96.48502,94.96028,93.2702,92.99805,96.89097,97.23805,97.71918,95.75241,94.7178,95.63472,93.65991,93.87022,95.47692,90.93169,90.93342,89.78436,92.50618,92.79622,91.98519,94.25095,94.20062,95.12351,96.11796,96.46867,95.89284,97.7111,98.46109,98.50952
,,,,601.79059,99.15164,99.78259,100.64105,96.90919,95.96273,95.76751,95.5578,93.5573,93.46654,96.97917,96.97497,97.29684,95.78301,94.73965,95.04014,93.96944,94.87118,95.51987,91.38927,90.52643,89.74422,92.72521,92.91638,91.8564,94.42323,94.62758,95.06544,96.19454,97.06196,96.67377,97.56902,98.49656,97.80364
,,,,603.71941,100.11677,99.41904,100.69544,97.73538,96.40493,95.66935,95.75076,94.45798,94.09145,96.90159,97.05833,96.29871,96.18525,95.03982,95.65789,95.62177,95.63374,95.81834,92.01959,90.54944,90.5242,92.90858,92.17101,92.14439,94.91346,95.15713,95.82702,97.9604,97.58331,97.40124,97.88808,98.88726,97.9768
,,,,605.64822,100.60489,100.19964,100.22129,97.67253,96.58698,96.68417,96.22011,94.42141,94.42332,96.09315,96.1938,95.88006,96.27713,95.57965,96.13729,96.71821,96.12359,96.48131,91.86442,91.22767,90.46376,92.07567,91.57008,92.0651,94.98004,95.70616,95.99674,98.52511,98.53043,97.93283,98.6015,98.99583,98.50895
,,,,607.57704,99.53945,100.19748,99.10721,97.34321,95.87938,96.50929,96.03911,94.45473,94.86726,95.60716,95.18503,95.00424,95.55016,95.3096,95.65396,97.63102,96.11848,96.74666,91.25698,91.1348,89.8807,91.48479,91.23012,91.90046,94.84625,95.05313,95.56874,97.46661,98.42014,97.77364,98.8863,98.75743,98.03235
